location_id,city,latitude,longitude,parameter,value,unit,date
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,136.6,ug/m3,2024-01-01T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,164.8,ug/m3,2024-01-02T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,146.5,ug/m3,2024-01-03T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,128.8,ug/m3,2024-01-04T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,168.0,ug/m3,2024-01-05T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,120.1,ug/m3,2024-01-06T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,132.7,ug/m3,2024-01-07T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,152.3,ug/m3,2024-01-08T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,171.2,ug/m3,2024-01-09T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,151.1,ug/m3,2024-01-11T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,165.2,ug/m3,2024-01-12T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,141.4,ug/m3,2024-01-13T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,133.4,ug/m3,2024-01-14T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,173.6,ug/m3,2024-01-17T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,141.0,ug/m3,2024-01-18T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,164.0,ug/m3,2024-01-19T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,169.2,ug/m3,2024-01-20T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,170.8,ug/m3,2024-01-22T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,117.5,ug/m3,2024-01-23T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,126.4,ug/m3,2024-01-24T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,152.9,ug/m3,2024-01-25T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,138.7,ug/m3,2024-01-26T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,165.0,ug/m3,2024-01-27T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,160.8,ug/m3,2024-01-28T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,140.3,ug/m3,2024-01-29T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,161.5,ug/m3,2024-01-31T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,149.7,ug/m3,2024-02-01T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,160.5,ug/m3,2024-02-02T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,146.9,ug/m3,2024-02-03T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,147.4,ug/m3,2024-02-04T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,113.2,ug/m3,2024-02-05T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,159.4,ug/m3,2024-02-07T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,139.9,ug/m3,2024-02-08T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,140.5,ug/m3,2024-02-09T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,126.0,ug/m3,2024-02-10T00:00:00
DL001,Delhi,28.709582419422386,77.17193256004033,pm25,125.6,ug/m3,2024-02-11T00:00:00
